TIME     PID     COMM             AGE(s)  FILE
07:40:57 166377  containerd-shim  0.00    #1254
07:41:04 173298  kubectl          0.15    1962c28e6a1baad0603799c88e547aca
07:41:04 173298  kubectl          0.15    1962c28e6a1baad0603799c88e547aca
07:41:04 149880  systemd-journal  4.58    8:821051
07:41:04 173298  kubectl          0.02    1962c28e6a1baad0603799c88e547aca
07:41:04 173298  kubectl          0.05    1962c28e6a1baad0603799c88e547aca
07:41:04 173298  kubectl          0.02    1962c28e6a1baad0603799c88e547aca
07:41:04 173298  kubectl          0.02    1962c28e6a1baad0603799c88e547aca
07:41:04 173326  kubectl          0.01    1962c28e6a1baad0603799c88e547aca
07:41:04 173326  kubectl          0.01    1962c28e6a1baad0603799c88e547aca
07:41:05 173326  kubectl          0.02    1962c28e6a1baad0603799c88e547aca
07:41:05 173326  kubectl          0.03    1962c28e6a1baad0603799c88e547aca
07:41:05 150082  containerd-shim  0.25    be16a0d31bac07d5f6a7955e7b0108f3
07:41:05 173416  rm               3.13    cloud_config
07:41:05 173416  rm               3.17    cloud_config
07:41:05 173416  rm               3.12    download-cloud-config.md5
07:41:05 173416  rm               3.12    download-cloud-config.md5
07:41:05 173417  kubectl          0.23    1962c28e6a1baad0603799c88e547aca
07:41:05 173417  kubectl          0.23    1962c28e6a1baad0603799c88e547aca
07:41:05 143000  systemd          3.29    cri-containerd-7a56c3c4c1552a14f
07:41:05 143000  systemd          3.15    50-DevicePolicy.conf
07:41:05 143000  systemd          3.15    50-DeviceAllow.conf
07:41:05 143000  systemd          3.15    50-MemoryMax.conf
07:41:05 143000  systemd          3.15    50-CPUWeight.conf
07:41:05 143000  systemd          3.15    50-CPUQuotaPeriodSec.conf
07:41:05 143000  systemd          3.15    50-CPUQuota.conf
07:41:05 148096  containerd       3.64    log.json
07:41:05 148096  containerd       3.70    runtime
07:41:05 148096  containerd       3.71    options.json
07:41:05 148096  containerd       3.71    shim-binary-path
07:41:05 148096  containerd       3.72    address
07:41:05 148096  containerd       3.73    config.json
07:41:05 161840  containerd       3.78    log.json
07:41:05 161840  containerd       4.03    runtime
07:41:05 161840  containerd       4.03    options.json
07:41:05 161840  containerd       4.03    shim-binary-path
07:41:05 161840  containerd       4.04    address
07:41:05 161840  containerd       4.04    config.json
07:41:05 173623  runc             3.10    state.json
07:41:06 161840  containerd       7.71    19a38fd5caeacbac903e37a2ac201c43
07:41:06 150817  systemd-journal  4.54    8:826536
07:41:06 173862  kubectl          9.25    83bbf4bbbeba30fc8c69e9450d5a665c
07:41:06 173862  kubectl          9.25    83bbf4bbbeba30fc8c69e9450d5a665c
07:41:07 148096  containerd       0.05    cni-loopback-79ed2a4b9a4d629436a
07:41:08 148096  containerd       4.43    log.json
07:41:08 148096  containerd       4.47    runtime
07:41:08 148096  containerd       4.47    options.json
07:41:08 148096  containerd       4.47    shim-binary-path
07:41:08 148096  containerd       4.47    address
07:41:08 148096  containerd       4.48    config.json
07:41:08 148122  containerd       4.61    log.json
07:41:08 148122  containerd       4.62    runtime
07:41:08 148122  containerd       4.62    options.json
07:41:08 148122  containerd       4.62    shim-binary-path
07:41:08 148122  containerd       4.62    address
07:41:08 148122  containerd       4.63    config.json
07:41:08 161897  containerd       5.57    init.pid
07:41:08 161897  containerd       6.19    log.json
07:41:08 161897  containerd       6.35    runtime
07:41:08 161897  containerd       6.35    options.json
07:41:08 161897  containerd       6.35    shim-binary-path
07:41:08 161897  containerd       6.35    address
07:41:08 161897  containerd       6.36    config.json
07:41:08 148122  containerd       5.86    init.pid
07:41:08 148122  containerd       6.28    log.json
07:41:08 148122  containerd       6.49    runtime
07:41:08 148122  containerd       6.49    options.json
07:41:08 148122  containerd       6.49    shim-binary-path
07:41:08 148122  containerd       6.50    address
07:41:08 148122  containerd       6.51    config.json
07:41:09 19473   containerd       6.33    0e961cbff4e46a0e84211b0846b12d47
07:41:12 176011  kubectl          9.64    0de1d91c00a4f219924f1a9a2850e88f
07:41:12 176011  kubectl          9.64    0de1d91c00a4f219924f1a9a2850e88f
07:41:12 162123  containerd       0.20    #131c
07:41:12 161146  kubelet          13.95   0.log
07:41:12 161146  kubelet          13.96   0.log
07:41:12 161670  containerd       10.45   77a4840051c42b401f0e0d96f581cd3c
07:41:12 148122  containerd       0.10    cni-loopback-005cb0f92ea1e6b1140
07:41:12 176342  kubectl          9.94    0de1d91c00a4f219924f1a9a2850e88f
07:41:12 176342  kubectl          9.94    0de1d91c00a4f219924f1a9a2850e88f
07:41:12 162123  containerd       0.17    updatedat
07:41:12 149030  containerd-shim  0.52    e31ca12968dc962c1565ca21ae609cce
07:41:12 176595  kubectl          9.87    4359babd976516e4fe13324bc81f7000
07:41:12 176595  kubectl          9.87    4359babd976516e4fe13324bc81f7000
07:41:13 176854  kubectl          9.71    e278d67b5dc3dd4430d69d742fb144b9
07:41:13 176854  kubectl          9.71    e278d67b5dc3dd4430d69d742fb144b9
07:41:13 161897  containerd       0.86    log.json
07:41:13 161670  containerd       14.61   product_name
07:41:13 161670  containerd       14.80   resolv.conf
07:41:13 161670  containerd       14.84   hosts
07:41:13 161670  containerd       14.84   hostname
07:41:13 161670  containerd       14.60   product_uuid
07:41:13 177321  exe              0.01    runc.F3VHJX
07:41:14 142994  systemd          0.60    cri-containerd-91bc7633937dd75d0
07:41:14 177104  containerd-shim  16.71   7295f4626d3c9592644a166d1f8a6b9f
07:41:15 161670  containerd       1.38    log.json
07:41:17 160792  kubelet          16.29   0.log
07:41:17 160792  kubelet          16.30   0.log
07:41:18 161897  containerd       9.98    0cd610fe5829dcc1b968b7abcc4ddc75
07:41:18 162123  containerd       0.17    total
07:41:18 161897  containerd       15.89   product_name
07:41:18 161897  containerd       16.11   resolv.conf
07:41:18 161897  containerd       16.14   hosts
07:41:18 161897  containerd       16.12   hostname
07:41:18 161897  containerd       15.89   product_uuid
07:41:21 160616  kubelet          19.83   1.log
07:41:21 160616  kubelet          19.83   1.log
07:41:21 161840  containerd       15.76   c307c95234bbe5c2b58163ab36faa162
07:41:22 161840  containerd       19.67   resolv.conf
07:41:22 161840  containerd       19.67   hosts
07:41:22 161840  containerd       19.68   hostname
07:41:22 161897  containerd       23.13   16cb3d114c201bf80a8c7e6d09713e92
07:41:22 161897  containerd       23.43   8fdb1fc20e240e9cae976518305db9f9
07:41:22 161897  containerd       23.61   dc92c201708fe21860eef8dcae8b3f78
07:41:22 161897  containerd       23.17   f2ab4db4216e14514b755c80bdbe7208
07:41:22 161897  containerd       23.52   fda4ba87f6fbeebb651625814b981d41
07:41:23 143000  systemd          24.67   cri-containerd-5c1419f42f373709a
07:41:23 143000  systemd          24.37   50-DevicePolicy.conf
07:41:23 143000  systemd          24.37   50-DeviceAllow.conf
07:41:23 143000  systemd          24.37   50-CPUWeight.conf
07:41:23 161840  containerd       0.00    #143f
07:41:23 181468  runc             24.32   state.json
07:41:23 161670  containerd       0.00    #1442
07:41:23 161840  containerd       0.00    #1444
07:41:23 148096  containerd       1.56    startedat
07:41:23 148122  containerd       24.84   init.pid
07:41:23 148122  containerd       25.28   log.json
07:41:23 148122  containerd       25.32   runtime
07:41:23 148122  containerd       25.32   options.json
07:41:23 148122  containerd       25.33   shim-binary-path
07:41:23 148122  containerd       25.34   address
07:41:23 148122  containerd       25.36   config.json
07:41:23 181609  exe              0.00    runc.aIz0ye
07:41:23 181507  useradd          0.00    subgid.770
07:41:23 181507  useradd          0.00    subgid.770
07:41:23 161897  containerd       0.92    runtime
07:41:23 161897  containerd       0.92    options.json
07:41:23 179466  containerd-shim  0.00    #1453
07:41:24 149211  systemd          0.76    cri-containerd-285899302e7407fb3
07:41:24 22478   containerd-shim  0.10    a68dda484f594723c6ec454dd761fd8e
07:41:24 147757  kubelet          23.90   0.log
07:41:24 147757  kubelet          23.94   0.log
07:41:24 148122  containerd       22.91   9491fe187265b6a72b9663163014d785
07:41:25 148122  containerd       23.75   product_name
07:41:25 148122  containerd       23.95   resolv.conf
07:41:25 148122  containerd       23.95   hosts
07:41:25 148122  containerd       23.95   hostname
07:41:25 148122  containerd       23.74   product_uuid
07:41:25 149409  systemd          27.83   cri-containerd-0c3142719ddd11891
07:41:25 149409  systemd          27.77   50-DevicePolicy.conf
07:41:25 149409  systemd          27.77   50-DeviceAllow.conf
07:41:25 149409  systemd          27.77   50-MemoryMax.conf
07:41:25 149409  systemd          27.77   50-CPUWeight.conf
07:41:25 149409  systemd          27.77   50-CPUQuotaPeriodSec.conf
07:41:25 149409  systemd          27.77   50-CPUQuota.conf
07:41:25 182245  runc             27.77   state.json
07:41:25 161897  containerd       27.89   init.pid
07:41:25 161897  containerd       28.10   log.json
07:41:25 161897  containerd       28.12   runtime
07:41:25 161897  containerd       28.12   options.json
07:41:25 161897  containerd       28.12   shim-binary-path
07:41:25 161897  containerd       28.14   address
07:41:25 161897  containerd       28.14   config.json
07:41:25 148122  containerd       28.19   containerd-mount1717743143
07:41:25 76813   fluent-bit       28.46   0000000000044.dque
07:41:25 76813   fluent-bit       28.48   0000000000044.dque
07:41:25 148096  containerd       0.61    log.json
07:41:26 148122  containerd       2.90    .ba5fa787ac6b7944948583a582e421a
07:41:26 161670  containerd       0.00    #1490
07:41:26 161897  containerd       12.39   4566b3834e12e91bab22a8d378094029
07:41:26 149211  systemd          3.26    cri-containerd-66ae2136720e7a269
07:41:26 162123  containerd       21.05   runtime
07:41:26 162123  containerd       21.05   options.json
07:41:26 162123  containerd       21.06   config.json
07:41:26 161343  kubelet          28.14   1.log
07:41:26 161343  kubelet          28.15   1.log
07:41:26 161670  containerd       25.25   16cb3d114c201bf80a8c7e6d09713e92
07:41:26 161670  containerd       25.61   8fdb1fc20e240e9cae976518305db9f9
07:41:26 161670  containerd       25.84   dc92c201708fe21860eef8dcae8b3f78
07:41:27 161670  containerd       24.65   f2ab4db4216e14514b755c80bdbe7208
07:41:27 161670  containerd       25.60   fda4ba87f6fbeebb651625814b981d41
07:41:27 162123  containerd       25.06   6c1293931c047797008a632384401790
07:41:27 162123  containerd       28.45   product_name
07:41:27 162123  containerd       28.71   resolv.conf
07:41:27 162123  containerd       28.72   hosts
07:41:27 162123  containerd       28.72   hostname
07:41:27 162123  containerd       28.45   product_uuid
07:41:27 148122  containerd       1.83    updatedat
07:41:27 149211  systemd          30.34   cri-containerd-6f6025b7f8daccf1e
07:41:27 149211  systemd          30.24   50-DevicePolicy.conf
07:41:27 149211  systemd          30.24   50-DeviceAllow.conf
07:41:27 149211  systemd          30.24   50-MemoryMax.conf
07:41:27 149211  systemd          30.24   50-CPUWeight.conf
07:41:27 149211  systemd          30.24   50-CPUQuotaPeriodSec.conf
07:41:27 149211  systemd          30.24   50-CPUQuota.conf
07:41:27 183348  runc             30.12   state.json
07:41:28 148122  containerd       1.02    total
07:41:28 148122  containerd       1.07    updatedat
07:41:28 161670  containerd       30.24   init.pid
07:41:28 161670  containerd       30.53   log.json
07:41:28 161670  containerd       30.55   runtime
07:41:28 161670  containerd       30.55   options.json
07:41:28 161670  containerd       30.55   shim-binary-path
07:41:28 161670  containerd       30.56   address
07:41:28 161670  containerd       30.56   config.json
07:41:28 183499  exe              0.00    runc.Ok6E5N
07:41:28 149320  systemd-journal  0.03    8:881149
07:41:29 161897  containerd       1.83    log.json
07:41:30 161897  containerd       2.73    runtime
07:41:32 14871   containerd-shim  5.36    pty2404155528
07:41:33 185469  kubectl          31.29   0de1d91c00a4f219924f1a9a2850e88f
07:41:33 185469  kubectl          31.29   0de1d91c00a4f219924f1a9a2850e88f
07:41:33 185375  kubectl          33.21   83bbf4bbbeba30fc8c69e9450d5a665c
07:41:33 185375  kubectl          33.23   83bbf4bbbeba30fc8c69e9450d5a665c
07:41:34 160792  kubelet          37.34   0.log
07:41:34 160792  kubelet          37.35   0.log
07:41:34 162123  containerd       35.63   containerd-mount1428207825
07:41:35 186065  kubectl          0.01    1962c28e6a1baad0603799c88e547aca
07:41:35 161670  containerd       29.65   hostname
07:41:35 186176  kubectl          31.56   0de1d91c00a4f219924f1a9a2850e88f
07:41:35 186176  kubectl          31.57   0de1d91c00a4f219924f1a9a2850e88f
07:41:35 161897  containerd       38.13   product_name
07:41:35 161897  containerd       38.22   resolv.conf
07:41:35 161897  containerd       38.23   hosts
07:41:35 161897  containerd       38.22   hostname
07:41:35 161897  containerd       38.12   product_uuid
07:41:36 161670  containerd       37.78   apk
07:41:36 186426  kubectl          31.53   4359babd976516e4fe13324bc81f7000
07:41:36 186426  kubectl          31.53   4359babd976516e4fe13324bc81f7000
07:41:38 161840  containerd       5.09    shim-binary-path
07:41:38 161840  containerd       5.09    address
07:41:38 149211  systemd          3.38    cri-containerd-a7c40e479bafa4040
07:41:38 161146  kubelet          15.30   0.log
07:41:38 161670  containerd       13.77   285899302e7407fb32ce993b731b4453
07:41:41 161897  containerd       16.79   26c381daafc4f30f7a70a05e98b8b831
07:41:43 161897  containerd       19.89   APKINDEX.0488e555.tar.gz
07:41:43 148122  containerd       16.44   a26eafb78e493ae9ec7ebd7ce01ebee7
07:41:51 147757  kubelet          48.13   0.log
07:41:51 147757  kubelet          48.16   0.log
07:41:51 160792  kubelet          23.86   1.log
07:41:51 148096  containerd       4.84    runtime
07:41:53 148122  containerd       49.76   resolv.conf
07:41:53 148122  containerd       49.76   hosts
07:41:53 148122  containerd       49.76   hostname
07:41:53 148122  containerd       50.70   kube-proxy
07:41:54 147757  kubelet          52.08   3.log
07:41:54 147757  kubelet          52.09   3.log
07:41:54 148122  containerd       45.58   7a56c3c4c1552a14fff25d28727cd188
07:41:54 193191  exe              0.00    runc.kmagCT
07:41:54 147757  kubelet          52.77   node-exporter-k6trw_kube-system_
07:41:54 182642  containerd       0.03    ref
07:41:54 182642  containerd       0.03    startedat
07:41:54 182642  containerd       0.03    updatedat
07:41:54 147703  kubelet          50.60   3.log
07:41:54 147703  kubelet          50.62   3.log
07:41:54 182642  containerd       0.00    #16c6
07:41:54 148096  containerd       46.15   7d8b67c09a5a0c13c40d1f6d4228f126
07:41:54 19473   containerd       0.00    #16c8
07:41:54 148096  containerd       56.51   work
07:41:54 148096  containerd       56.51   fs
07:41:54 148096  containerd       50.96   resolv.conf
07:41:54 148096  containerd       50.96   hosts
07:41:54 148096  containerd       50.96   hostname
07:41:54 22478   containerd-shim  0.06    runc-process1879026574
07:41:54 22478   containerd-shim  0.11    436a8cd02bb70a1624cdb56bb4de7428
07:41:54 193419  exe              0.01    runc.YZtTmc
07:41:55 161840  containerd       56.06   work
07:41:55 150082  containerd-shim  0.37    runc-process1131169938
07:41:55 148122  containerd       52.72   product_name
07:41:55 148122  containerd       52.78   resolv.conf
07:41:55 148122  containerd       52.80   hosts
07:41:55 148122  containerd       52.80   hostname
07:41:55 148122  containerd       52.72   product_uuid
07:41:55 148096  containerd       37.81   k8s-pod-network-4218e50b165b4205
07:41:55 161670  containerd       2.50    shim-binary-path
07:41:55 161670  containerd       2.50    address
07:41:57 150396  systemd          60.34   50-DevicePolicy.conf
07:41:57 150396  systemd          60.33   50-DeviceAllow.conf
07:41:57 150396  systemd          60.33   50-CPUWeight.conf
07:41:57 194802  runc             60.38   state.json
07:41:57 162123  containerd       60.47   init.pid
07:41:59 162123  containerd       34.43   product_name
07:41:59 161840  containerd       20.55   181a8f652c22c84cb262110ad701b797
07:42:00 162123  containerd       56.41   3613c425bd73d81c3f12161579f84527
07:42:00 162123  containerd       57.04   25
07:42:00 162123  containerd       57.04   fs
07:42:00 162123  containerd       61.64   48
07:42:00 162123  containerd       61.64   work
07:42:00 162123  containerd       61.64   work
07:42:00 162123  containerd       61.64   fs
07:42:04 162123  containerd       67.25   apk
07:42:04 162123  containerd       37.95   ct_helper_rpc.so
07:42:04 162123  containerd       39.20   APKINDEX.0488e555.tar.gz
07:42:05 143000  systemd          9.99    50-CPUQuotaPeriodSec.conf
07:42:06 197392  kubectl          0.02    e278d67b5dc3dd4430d69d742fb144b9
07:42:06 197392  kubectl          0.06    e278d67b5dc3dd4430d69d742fb144b9
07:42:06 180681  containerd-shim  11.64   #17c2
07:42:07 143000  systemd          64.43   cri-containerd-79ac2317be653e15a
07:42:07 143000  systemd          64.36   50-DevicePolicy.conf
07:42:07 143000  systemd          64.36   50-DeviceAllow.conf
07:42:07 143000  systemd          64.36   50-CPUWeight.conf
07:42:07 197961  runc             64.63   state.json
07:42:07 148122  containerd       64.74   init.pid
07:42:07 148122  containerd       64.84   log.json
07:42:07 148122  containerd       65.07   runtime
07:42:07 148122  containerd       65.07   options.json
07:42:07 148122  containerd       65.07   shim-binary-path
07:42:07 148122  containerd       65.08   address
07:42:07 148122  containerd       65.10   config.json
07:42:08 19473   containerd       40.33   c7edcc9c0193dffdd8a092c917a6a6ec
07:42:08 19473   containerd       56.03   4fd8757280dede481eef6d4142770ec0
07:42:08 143000  systemd          1.27    50-DevicePolicy.conf
07:42:08 143000  systemd          1.27    50-DeviceAllow.conf
07:42:09 162123  containerd       8.69    config.json
07:42:09 199637  rm               0.18    download-cloud-config.md5
07:42:09 199640  exe              0.00    runc.3xlcwN
07:42:14 201660  containerd-shim  77.10   #1872
07:42:15 161670  containerd       6.32    .9e18cfbcec8315474756c2907f3e8d6
07:42:15 148122  containerd       77.31   5a7037db59caf96621a1b675521ac58e
07:42:15 169749  containerd-shim  0.35    runc-process1225380916
07:42:15 169749  containerd-shim  0.35    runc-process1225380916
07:42:15 148122  containerd       78.53   world
07:42:15 148122  containerd       78.53   scripts.tar
07:42:15 148122  containerd       78.53   triggers
07:42:15 148122  containerd       78.54   installed
07:42:15 202296  exe              0.01    runc.oY8lFh
07:42:15 202271  containerd-shim  0.00    #187f
07:42:15 202298  exe              0.00    runc.kL7bfR
07:42:15 182642  containerd       0.00    #1885
07:42:15 169749  containerd-shim  0.22    runc-process958293626
07:42:15 169749  containerd-shim  0.22    runc-process958293626
07:42:15 182642  containerd       0.00    #1887
07:42:15 169749  containerd-shim  0.14    runc-process3013074724
07:42:15 169749  containerd-shim  0.14    runc-process3013074724
07:42:16 169749  containerd-shim  0.09    runc-process9116184
07:42:16 169749  containerd-shim  0.09    runc-process9116184
07:42:16 169749  containerd-shim  0.28    runc-process756268610
07:42:16 169749  containerd-shim  0.28    runc-process756268610
07:42:21 161670  containerd       25.42   3cc8c14eee69e76ab2788fb50cdfd276
07:42:21 161840  containerd       5.62    runtime
07:42:21 161840  containerd       5.62    options.json
07:42:23 147703  kubelet          81.84   0.log
07:42:23 147703  kubelet          81.84   0.log
07:42:23 182642  containerd       0.00    #18d9
07:42:23 148096  containerd       81.61   resolv.conf
07:42:23 148096  containerd       81.61   hosts
07:42:23 148096  containerd       81.61   hostname
07:42:24 162123  containerd       18.09   rootfs
07:42:26 148096  containerd       2.46    hostname
07:42:30 208356  kubectl          0.00    83bbf4bbbeba30fc8c69e9450d5a665c
07:42:33 160616  kubelet          39.28   0.log
07:42:33 36783   containerd-shim  0.04    d1b56e6f15be83696673bd1156cd53af
07:42:34 149211  systemd          10.91   cri-containerd-5e0106acef7191b9c
07:42:34 149211  systemd          8.65    cri-containerd-24e85361ac59dd107
07:42:34 22478   containerd-shim  0.23    ce01d5b8d5df87d52e54d812b3c802f6
07:42:35 161146  kubelet          97.91   0.log
07:42:35 161146  kubelet          97.91   0.log
07:42:36 161670  containerd       98.48   product_name
07:42:36 161670  containerd       98.64   resolv.conf
07:42:36 161670  containerd       98.66   hosts
07:42:36 161670  containerd       98.66   hostname
07:42:36 161670  containerd       98.48   product_uuid
07:42:36 137491  containerd-shim  0.28    afa7f5a34d8e102288c3cdd79fe63147
07:42:36 149880  systemd-journal  0.17    8:1021196
07:42:36 161670  containerd       0.00    #1a03
07:42:36 161670  containerd       0.00    #1a05
07:42:37 162123  containerd       91.39   resolv.conf
07:42:37 483     systemd-journal  0.13    8:1004306
07:42:39 149003  systemd          27.08   50-DeviceAllow.conf
07:42:43 162123  containerd       8.24    shim-binary-path
07:42:43 162123  containerd       8.26    address
07:42:43 212299  kubectl          0.07    4359babd976516e4fe13324bc81f7000
07:42:43 212299  kubectl          0.07    4359babd976516e4fe13324bc81f7000
07:42:43 137149  containerd-shim  0.35    dc6f59fef34af9abdf7f7962b7441079
07:42:45 162123  containerd       21.92   config.json
07:42:46 150396  systemd          1.36    50-CPUQuota.conf
07:42:47 165500  systemd          39.87   cri-containerd-7f2d26ad1b47d7a63
07:42:47 161840  containerd       31.29   product_name
07:42:48 148122  containerd       83.31   shim-binary-path
07:42:48 148096  containerd       10.74   work
07:42:54 148122  containerd       115.97  resolv.conf
07:42:54 148122  containerd       115.97  hosts
07:42:54 148122  containerd       115.97  hostname
07:42:54 216054  grafana-server   0.03    grafana.db-journal
07:42:54 148096  containerd       54.52   a25d22b7537d72fec4b5eed8f8522e6a
07:42:54 216054  grafana-server   0.03    grafana.db-journal
07:42:54 216054  grafana-server   0.03    grafana.db-journal
07:42:54 216054  grafana-server   0.03    grafana.db-journal
07:42:55 148122  containerd       47.67   resolv.conf
07:42:55 148122  containerd       116.25  supervise
07:42:55 148122  containerd       81.09   lock
07:42:55 148122  containerd       111.13  apiserver-proxy
07:42:55 148122  containerd       116.61  resolv.conf
07:42:55 149003  systemd          48.83   50-MemoryMax.conf
07:42:55 148122  containerd       90.63   hosts
07:42:57 20539   kubelet          13.82   script
07:42:57 148096  containerd       117.36  etc
07:42:58 161670  containerd       59.52   67
07:42:58 149409  systemd          8.44    50-DeviceAllow.conf
07:42:58 161897  containerd       95.70   ok
07:42:59 142994  systemd          65.92   50-DevicePolicy.conf
07:42:59 162123  containerd       4.27    init.pid
07:42:59 142994  systemd          23.84   50-DevicePolicy.conf
07:42:59 149003  systemd          119.34  cri-containerd-f251ec97323c779c5
07:42:59 149003  systemd          119.23  50-DevicePolicy.conf
07:42:59 149003  systemd          119.23  50-DeviceAllow.conf
07:42:59 149003  systemd          119.23  50-CPUWeight.conf
07:42:59 161897  containerd       43.96   b8131cd760e040905c7033934023fe2f
07:42:59 220907  runc             119.31  state.json
07:43:00 161840  containerd       119.98  rootfs
07:43:00 161840  containerd       119.98  .f251ec97323c779c5dc2838df74c8c2
07:43:00 161840  containerd       119.42  init.pid
07:43:00 161840  containerd       119.70  log.json
07:43:00 161840  containerd       119.81  runtime
07:43:00 161840  containerd       119.81  options.json
07:43:00 161840  containerd       119.82  shim-binary-path
07:43:00 161840  containerd       119.82  address
07:43:00 161840  containerd       119.85  config.json
07:43:00 161840  containerd       119.98  work
07:43:00 161840  containerd       119.98  .f251ec97323c779c5dc2838df74c8c2
07:43:00 220660  grafana-server   0.01    grafana.db-journal
07:43:00 220754  runc             65.51   state.json
07:43:00 220660  grafana-server   0.01    grafana.db-journal
07:43:00 220660  grafana-server   0.03    grafana.db-journal
07:43:00 148096  containerd       65.60   init.pid
07:43:14 227544  exe              0.00    runc.4ow7ni
07:43:14 162123  containerd       12.03   rootfs
07:43:14 22478   containerd-shim  0.06    runc-process4189316876
07:43:14 22478   containerd-shim  0.07    runc-process3365683630
07:43:14 227873  runc             20.36   state.json
07:43:20 160616  kubelet          25.02   0.log
07:43:20 148096  containerd       0.00    #1e1f
07:43:20 161840  containerd       21.79   8a5e7f3b4e20f24b266811ddc927da5d
07:43:23 142994  systemd          128.02  50-DevicePolicy.conf
07:43:23 148096  containerd       130.01  cni-loopback-de5c9df4b02a46f8bc4
07:43:23 147703  kubelet          47.67   1296872c
07:43:23 147703  kubelet          47.67   1296872c
07:43:25 148096  containerd       2.47    shim-binary-path
07:43:26 19473   containerd       90.19   fdf213941cbef84beb4f1675950e3a65
07:43:26 234744  containerd-shim  0.00    #1eaa
07:43:26 19473   containerd       95.39   hostname
07:43:27 162123  containerd       2.35    log.json
07:43:28 236484  host-local       1.59    10.3.0.13
07:43:28 236518  execute-cloud-c  0.00    sh-thd.8YkJYQ
07:43:28 149003  systemd          114.42  kubepods-burstable-pod173a5508_a
07:43:34 161840  containerd       157.13  fs
07:43:37 162123  containerd       51.89   cdf93cfb777848bc5e5f0f4bddf4b262
07:43:42 148096  containerd       95.07   hosts
07:43:42 243677  execute-cloud-c  0.00    sh-thd.Wsw6Gu
07:43:42 243752  rm               0.20    cloud_config
07:43:43 76813   fluent-bit       139.55  0000000000027.dque
07:43:44 149003  systemd          1.88    50-DevicePolicy.conf
07:43:44 162123  containerd       1.70    address
07:43:48 147757  kubelet          71.58   8431b54c
07:43:56 249887  exe              0.00    runc.mhd5e0
07:43:56 148122  containerd       173.47  resolv.conf
07:43:56 148122  containerd       173.48  hosts
07:43:56 148122  containerd       173.48  hostname
07:43:57 148122  containerd       174.23  resolv.conf
07:43:57 149003  systemd          1.31    cri-containerd-101ad53b7b6d7a17c
07:43:57 161670  containerd       1.49    log.json
07:44:06 161840  containerd       131.25  39b98ee481971257b48e69bf00aa7aed
07:44:06 162123  containerd       77.12   io
07:44:06 137491  containerd-shim  0.24    c084cbc4e1b5e9e46e1adaee273c6bf3
07:44:08 148096  containerd       12.29   log.json
07:44:09 162123  containerd       2.44    log.json
07:44:09 149003  systemd          0.34    cri-containerd-104bfe077e221d356
07:44:10 149003  systemd          0.27    cri-containerd-11fac89f53a0a3cdc
07:44:11 259383  runc             37.33   state.json
07:44:16 162123  containerd       31.47   0d64fa86626f7a0e63c9392f8041025c
07:44:24 148122  containerd       92.98   hosts
07:44:28 228705  containerd-shim  10.85   #24b6
07:44:29 161670  containerd       31.66   39c0d4e832e54236156dc7316cd70b0b
07:44:30 239976  containerd-shim  0.00    #24d0
07:44:31 148096  containerd       0.69    log.json
07:44:31 182642  containerd       73.67   fs
07:44:33 162123  containerd       23.66   config.json
07:44:34 161840  containerd       186.82  hostname
07:44:35 161840  containerd       215.04  f251ec97323c779c5dc2838df74c8c24
07:44:35 161840  containerd       214.91  resolv.conf
07:44:35 161840  containerd       214.91  hosts
07:44:35 161840  containerd       214.91  hostname
07:44:35 161840  containerd       215.04  f251ec97323c779c5dc2838df74c8c24
07:44:35 161840  containerd       215.04  shm
07:44:35 161670  containerd       0.00    #2557
07:44:35 148096  containerd       4.14    874f19e1ffa62692c4c26ef5e970e680
07:44:35 161670  containerd       0.37    options.json
07:44:35 161670  containerd       0.37    shim-binary-path
07:44:35 161670  containerd       0.37    address
07:44:35 161670  containerd       0.38    config.json
07:44:35 161670  containerd       0.39    resolv.conf
07:44:35 161670  containerd       0.40    hosts
07:44:35 161670  containerd       0.40    hostname
07:44:36 161840  containerd       215.52  resolv.conf
07:44:41 162123  containerd       224.61  resolv.conf
07:44:41 483     systemd-journal  0.06    8:1277132
07:44:42 162123  containerd       188.82  resolv.conf
07:44:45 276356  kubectl          10.11   1962c28e6a1baad0603799c88e547aca
07:44:45 265817  containerd-shim  0.00    #263b
07:44:48 161840  containerd       39.58   config.json
07:44:49 162123  containerd       31.10   options.json
07:44:55 147703  kubelet          24.27   0.log
07:45:02 148096  containerd       50.54   9f27511cebb3fbfa638921032d3c9a1d
07:45:15 19473   containerd       255.61  etc
07:45:16 20539   kubelet          241.44  6949326d
07:45:16 162123  containerd       42.15   dccec97201e37c1dddd526318061d775
07:45:16 162123  containerd       40.49   cni-loopback-729a3eb2a71f076f76a
07:45:16 162123  containerd       40.49   cni-loopback-729a3eb2a71f076f76a
07:45:16 287337  exe              0.00    runc.D0NZiv
07:45:16 162123  containerd       40.69   cni-f27ec1ec-16d2-0d4c-2592-5469
07:45:18 142994  systemd          10.27   50-MemoryMax.conf
07:45:23 148096  containerd       250.66  k8s-pod-network-67725fc117c661bc
07:45:27 291529  exe              0.00    runc.gsY8rU
07:45:27 149409  systemd          0.12    cri-containerd-a713b6d46f24c05d3
07:45:27 291594  rm               0.01    gpg.1.sh
07:45:27 291671  runc             46.01   state.json
07:45:29 291319  apt              1.01    security.ubuntu.com_ubuntu_dists
